[2026-03-14T22:44:11.493Z] GET https://eyshtech.vip/ → 200 (101ms, 20638B)
[2026-03-14T22:44:11.600Z] GET https://www.googletagmanager.com/gtag/js?id=G-X4LZM2SMZP → 200 (102ms, 459061B)
[2026-03-14T22:44:11.600Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700;800&family=Share+Tech+Mono&family=Nunito:wght@400;600;700;800&display=swap → 200 (53ms, 9882B)
[2026-03-14T22:44:11.681Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (60ms, ?B)
[2026-03-14T22:44:11.682Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (72ms, ?B)
[2026-03-14T22:44:11.682Z] GET https://fonts.gstatic.com/s/sharetechmono/v16/J7aHnp1uDWRBEqV98dVQztYldFcLowEFA87Heg.woff2 → 200 (58ms, ?B)
[2026-03-14T22:44:11.735Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-X4LZM2SMZP&gtm=45je63b1h1v9245539321za200zd9245539321&_p=1773528251601&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1083064693.1773528252&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.1&uaw=0&are=1&frm=0&pscdl=noapi&_s=1&tag_exp=103116026~103200004~115616986~115938466~115938469~116024733~117484252&sid=1773528251&sct=1&seg=0&dl=https%3A%2F%2Feyshtech.vip%2F&dt=EyshTech%20%E2%80%94%20AI%20Operations%20%26%20Google%20Workspace%20Consulting&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=241 → pending (?ms, ?B)
[2026-03-14T22:44:11.739Z] GET https://eyshtech.vip/ → 200 (16ms, 20638B)
[2026-03-14T22:44:11.760Z] GET https://www.googletagmanager.com/gtag/js?id=G-X4LZM2SMZP → 200 (1ms, 459061B)
[2026-03-14T22:44:11.761Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700;800&family=Share+Tech+Mono&family=Nunito:wght@400;600;700;800&display=swap → 200 (?ms, 9882B)
[2026-03-14T22:44:11.763Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-03-14T22:44:11.764Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy1biN15.woff2 → 200 (?ms, ?B)
